assignee
Anhui Masteel Surface Technology Co., Ltd.
Lixin County Lingxi Industrial Design Co., Ltd.
Chery Automobile Co., Ltd.
Hangzhou Fuyang Changsheng Auto Parts Hardware Co., Ltd.
Huawei Technologies Co., Ltd
Institute of Computing Technology, Chinese Academy of Sciences
Institute of High Energy Physics, Chinese Academy of Sciences
Shanghai Moxiang Network Technology Co., Ltd.
Changzhou Beihua Aolian Environmental Protection Technology Co., Ltd.
CRSC Urban Rail Transit Technology Co., Ltd.
Joyoung Co., Ltd.
Western Yunnan Normal University of Science and Technology
Shaoxing Fairle Pipe Industry Co., Ltd.
Wuhan Hongxin Communication Technology Co., Ltd.
Wuhan University of Technology
Wenzhou Yuantuo Machinery Technology Co., Ltd.
CLP Environmental Protection Co., Ltd.
Zhejiang Maizhi Network Technology Co., Ltd.
China Construction Seventh Engineering Bureau Co., Ltd.
Yiwu Qianfei Technology Co., Ltd.
Beijing Institute of Technology
Hunan Huadian Changde Power Generation Co., Ltd.
Hangzhou Arnold Biomedical Technology Co., Ltd.
Shanghai Jiaotong University
Daishan Chengfeng Ship Decoration Co., Ltd.
Yongzhou Lida Industry and Trade Industry Co., Ltd.
Organo Co., Ltd.
Fuzhou University
Nanjing Weicheng Machinery Manufacturing Co., Ltd.
Innovation Advanced Technology Co., Ltd.
Xi'an Aerospace Precision Electromechanical Research Institute
Shanghai Huali Microelectronics Co., Ltd.
Shaanxi University of Science and Technology
Guangdong Best Electric Co., Ltd.
Fuzhou University
Zhejiang Qibo Intellectual Property Operation Co., Ltd.
BSH Home Appliances Co., Ltd.
Yangtze University
Beijing Lushui Environmental Engineering Technology Co., Ltd.
Huawei Technologies Co., Ltd
Qualcomm Incorporated
Fujitsu Corporation
Shenzhen Baichuanai Technology Co., Ltd.
China Construction Seventh Bureau Fourth Construction Co., Ltd.
Jiangsu Tianyu Environmental Protection Group Co., Ltd.
Wuxi Dade Auto Parts Technology Co., Ltd.
Hebei Lei Chuan Technology Co., Ltd.
beijing university of architecture
Fuzhou University
The 30th Research Institute of China Electronics Technology Group Corporation
Shanghai Microelectronics Equipment (Group) Co., Ltd.
Qingdao Hisense Hitachi Air Conditioning System Co., Ltd.
Beijing University of Posts and Telecommunications
Wuhan Central Hospital
Guangxi University
Jiangsu Lianfeng Industrial Co., Ltd.
Jiangsu Yanjie Environmental Engineering Co., Ltd.
Anhui Valin Automobile Co., Ltd.
Innosecco (Zhuhai) Technology Co., Ltd.
Beijing Digital Video Technology Co., Ltd.
Beijing Xingxing Jianxiang Technology Co., Ltd.
Aerospace Kaitian Environmental Technology Co., Ltd.
Beijing University
Hangzhou Dingyou Hardware Machinery Manufacturing Co., Ltd.
Case Co., Ltd.
Shenzhen Henggu Nano Technology Co., Ltd.
Huawei Technologies Co., Ltd
Shenzhen Fulong Intelligent Technology Development Co., Ltd.
Siemens Healthcare LLC
Guangdong University of Technology
Beijing Ziguang Zhanrui Communication Technology Co., Ltd.
Sanxia University
Anhui Yiheng Temperature Control Technology Co., Ltd.
Shanghai University of Applied Sciences
Institute of Metal Research, Chinese Academy of Sciences
Suzhou Yaaoxin Enterprise Management Consulting Co., Ltd.
Fujian Mintai Transportation Engineering Co., Ltd.
Zhejiang Geely Holding Group Co., Ltd.
Olympus Corporation
Nanjing Hanbang Ecological Agriculture Technology Co., Ltd.
Hangzhou Ambo Arts & Crafts Co., Ltd.
The Second Affiliated Hospital of Guiyang College of Traditional Chinese Medicine
Xintian County Hexin Stainless Steel Products Co., Ltd.
Beihang University
Zhejiang Tengxin Umbrella Industry Co., Ltd.
Dongguan Sun Yat-Sen University Research Institute
Mingyang Smart Energy Group Co., Ltd.
Sun Yat-Sen University
Li Weisong
Chongqing Huike Jinyu Optoelectronics Technology Co., Ltd.
Zhuhai Jizhi Technology Co., Ltd.
Alipay (Hangzhou) Information Technology Co., Ltd.
Shaanxi Normal University
Anhui Deppman New Materials Co., Ltd.
CRRC Changchun Railway Vehicle Co., Ltd.
Inventec Co., Ltd.
Jiangsu Tianfu Construction Engineering Co., Ltd.
Zhejiang Ocean University
Tieke Zongheng (Tianjin) Technology Development Co., Ltd.
Huawei Technologies Co., Ltd
Shijiazhuang Shengming Technology Co., Ltd.
Hangzhou Yimo Environmental Protection Technology Co., Ltd.
OPPO Guangdong Mobile Communication Co., Ltd.
Jilin University
SMIC Integrated Circuit Manufacturing (Beijing) Co., Ltd.
China FAW Co., Ltd.
Wuhan University of Technology
AUO Optoelectronics Co., Ltd.
Sony Interactive Entertainment America LLC
Neusoft Medical Systems Co., Ltd.
Nanjing Zhuoyi Aviation Technology Co., Ltd.
Aerospace Science and Industry Microelectronics System Research Institute Co., Ltd.
Hainan Lisheng Water Purification Technology Industrial Co., Ltd.
China Agricultural University
Guangzhou Environmental Protection Engineering Design Institute Co., Ltd.
Jiangsu Hengli Chemical Fiber Co., Ltd.
Qingdao Aston Engineering Technology Transfer Co., Ltd.
Suzhou Jinxie Medical Equipment Factory
Zhejiang University of Commerce and Industry
Chipsea Technology (Shenzhen) Co., Ltd.
Huawei Technologies Co., Ltd
Youyan Engineering Technology Research Institute Co., Ltd.
Wenzhou Tengjiao Environmental Protection Technology Co., Ltd.
China University of Petroleum (East China)
Si County Feihong Sports Culture Development Co., Ltd.
Shijiazhuang Guoxiang Transportation Equipment Co., Ltd.
Huawei Technologies Co., Ltd
Huawei Technologies Co., Ltd
Wuhan University
China University of Petroleum (Beijing)
Hefei Xinsheng Photoelectric Technology Co., Ltd.
Raoping Yujie Biotechnology Co., Ltd.
Jinhua Liyu Textile Co., Ltd.
Central South University
ZTE Corporation
Zhejiang University of Commerce and Industry
North China Electric Power University
Mavis Intervention Co., Ltd.
Guangdong Zilaiwu Intelligent Technology Co., Ltd.
Maoxin Photoelectric Technology (Shanghai) Co., Ltd.
Anhui Jianghuai Automobile Group Co., Ltd.
Zhou Monroe
Suzhou Jiufu Agricultural Machinery Co., Ltd.
Winbond Electronics Co., Ltd.
Zhengzhou Institute of Engineering and Technology
Jinhua Luowei Technology Co., Ltd.
Qualcomm Incorporated
Guangdong Fenghua High-tech Co., Ltd.
Nanjing University of Science and Technology
Shanghai Institute of Environmental Sciences
Shenzhen Qianhai Dada Cloud Intelligent Technology Co., Ltd.
Huawei Technologies Co., Ltd
Jiangmen Xinhui District Zhongsheng Biotechnology Co., Ltd.
Tencent Technology (Shenzhen) Co., Ltd.
Shanghai Institute of Microsystems and Information Technology, Chinese Academy of Sciences
Jiangxi Vocational College of Applied Technology
Jiangsu Institute of Technology
Wuxi Little Swan Electric Co., Ltd.
Emeishan Tonghui Pharmaceutical Co., Ltd.
GlobalFoundries Semiconductor
Taizhou Naxin New Energy Technology Co., Ltd.
China Agricultural University
Jiangsu Jiandaen Electronic Technology Co., Ltd.
Ningbo Keron Solar Energy Co., Ltd.
Shanghai Institute of Aerospace Control Technology
Zhejiang Magen Technology Co., Ltd.
Beijing Topside Technology Co., Ltd.
Daqing Wangyu Technology Co., Ltd.
Tencent Technology (Shenzhen) Co., Ltd.
Nanjing University of Technology CNC Technology Co., Ltd.
Qingdao University
LG Electronics Co., Ltd.
Zhejiang Academy of Forestry Sciences
Samsung Electronics Co., Ltd.
Dongguan Jisheng Automation Equipment Technology Co., Ltd.
Suichuan Xinruilin Machinery Co., Ltd.
Nanjing University of Science and Technology
University of Electronic Science and Technology of China
Vivo Mobile Communication Co., Ltd.
Beijing Jiaotong University
Guangdong Institute of Meteorological Computer Application Development
geer software co., ltd.
Zhejiang Sci-Tech University
Beijing Boda Guangtong IOT Technology Co., Ltd.
China Nuclear Power Research and Design Institute
Zhejiang May New Energy Co., Ltd.
Tianjin Tengyue Mould Co., Ltd.
South China University of Technology
Guangdong Chaoxinke Digital Technology Co., Ltd.
Qingyuan Hipu Biotechnology Co., Ltd.
Guangdong Junwu Technology Co., Ltd.
ZTE Corporation
Fujian Academy of Environmental Sciences (Fujian Discharge Rights Reserve and Management Technology Center)
China Great Wall Industry Group Co., Ltd.
Jiangxi Normal University
Guangzhou Zhongtong Biochemical Products Co., Ltd.
Nubia Technology Co., Ltd.
The Fifth Ninth Research Institute of China Ordnance Industry
Xiamen Tianma Microelectronics Co., Ltd.
Chengdu Research Base of Giant Panda Breeding
Shanghai Langbo Communication Technology Co., Ltd.
Jiangsu Fenghe Medical Equipment Co., Ltd.
Longqi Precision Electronic Technology (Taizhou) Co., Ltd.
Zhengzhou Yuzhong Aluminum and Magnesium Equipment Co., Ltd.
The Second Xiangya Hospital of Central South University
bomin electronics co., ltd.
Li Yao
CRRC Zhuzhou Electric Locomotive Co., Ltd.
Shenzhen Huazhong University of Science and Technology Research Institute
National Defense Science and Technology Innovation Research Institute of the Chinese People's Liberation Army Academy of Military Sciences
Ningbo Institute of Materials Technology and Engineering, Chinese Academy of Sciences
Pujiang Chunsheng Xiachang Environmental Protection Technology Co., Ltd.
Wuhan University of Science and Technology
Tianjin University
Phoenix Darts Co., Ltd.
Datang Mobile Communication Equipment Co., Ltd.
Shanghai Tianma Organic Light Emitting Display Technology Co., Ltd.
Shanghai United Imaging Medical Technology Co., Ltd.
Shenyang Chenyuan Electric Co., Ltd.
Beijing Jiaotong University
Nanjing University
Wang Zhongyi
NWAFU
Shanghai Shangxun Information Technology Co., Ltd.
Yancheng Institute of Technology
Anhui Villeroy & Boch Printing Technology Co., Ltd.
BOE Technology Group Co., Ltd.
Yuhuan Chuanjin Environmental Protection Technology Co., Ltd.
Comba Telecom Technology (Guangzhou) Co., Ltd.
Zhejiang Cancer Hospital
Quanzhou Taiwanese Investment Zone Yubao Trading Co., Ltd.
People's Bank of China Digital Currency Research Institute
Jinhe Tibetan Medicine (Shandong) Health Industry Co., Ltd.
Beijing Jinshan Security Software Co., Ltd.
Zhao Guoqiang
Xi'an Jiaotong University
Chongqing Hezi Automobile Technology Co., Ltd.
Wenzhou Hezhong Concrete Co., Ltd.
Jiangsu Hengli Chemical Fiber Co., Ltd.
Wuhan Jiuzhou Yumin Pharmaceutical Technology Co., Ltd.
University of Science and Technology Beijing
Jiangsu Feishuo Zhixing Equipment Co., Ltd.
Huawei Technologies Co., Ltd
Shangmai (Zhenjiang) New Energy Technology Co., Ltd.
Shandong Guanlong Medical Products Co., Ltd.
Huzhou Hongwei New Energy Vehicle Co., Ltd.
Beihang University
Unit 32021 of the Chinese People's Liberation Army
Southern Medical University
China University of Geosciences (Wuhan)
Zhengzhou Public Security Bureau
Merck Environmental Technology (Hunan) Co., Ltd.
Shenzhen Yingjixin Technology Co., Ltd.
Shaanxi Sirui New Materials Co., Ltd.
Wuhan Jizhidao Technology Co., Ltd.
University of Shanghai for Science and Technology
Dongguan Subversive Product Design Co., Ltd.
Adobe Corporation
NXP America Ltd.
Xuzhou Medical University
Hefei Kangerxin Power System Co., Ltd.
Northeastern University
Anhui Huaqi Environmental Protection Technology Co., Ltd.
goertek co., ltd.
Tianjin University
Wuhan Lizhida Technology Co., Ltd.
brahms gmbh
Hunan Valin Xiangtan Iron and Steel Co., Ltd.
Shandong Normal University
Qi Junshu
Zibo Gongtao New Material Group Co., Ltd.
Guangdong Xinyangmei Biotechnology Co., Ltd.
National Computer Network and Information Security Management Center
Shenzhen Ansheng Mould Co., Ltd.
Huawei Technologies Co., Ltd
Infineon Technologies AG
Asia Space Train (Henan) Rail Transit Co., Ltd.
Southeast University
ZTE Corporation
Xinke Technology Co., Ltd.
Tencent Technology (Shenzhen) Co., Ltd.
Innovation Advanced Technology Co., Ltd.
Datang Mobile Communication Equipment Co., Ltd.
Shandong National Ceramics Functional Materials Co., Ltd.
Sharp Corporation
Li Yanli
State Grid Corporation of China
Institute of Chemistry, Chinese Academy of Sciences
Hunan Tengchi Environmental Protection Technology Co., Ltd.
Qin Jiamao
South China Sea Institute of Oceanography, Chinese Academy of Sciences
Changzhou Zhongshi Sanshui Machinery Technology Co., Ltd.
Shenzhen Huaxing Optoelectronics Semiconductor Display Technology Co., Ltd.
Liu Jia
Huawei Technologies Co., Ltd
Dong Guanxian
Hangzhou Xiangyi Technology Co., Ltd.
Hangzhou Xiaohong Construction Environment Group Co., Ltd.
Shanghai Urban Construction Vocational College
Zhejiang University
Quanzhou Qixing Brake Material Co., Ltd.
China Precision Technology Co., Ltd.
Tianjin University of Science and Technology
Ningbo Weier Hardware Industry & Trade Co., Ltd.
Zhejiang Shenshi Mining Co., Ltd.
Hangzhou Bioer Technology Co., Ltd.
Guangdong Galanz Group Co., Ltd.
Dongguan Xinde Machinery Technology Co., Ltd.
Maanshan Zhongya Machine Tool Manufacturing Co., Ltd.
Baosteel Special Steel Shaoguan Co., Ltd.
Anhui Chuangxian Electronic Technology Co., Ltd.
Osaka University, a national university corporation
PLA National University of Defense Technology
Zhejiang Dongyang Nongchao Garment Co., Ltd.
taiwan integrated circuit manufacturing co., ltd.
Gosuncn IOT Technology Co., Ltd.
Henan University of Science and Technology
Yuyao Huachen Machinery Co., Ltd.
Southeast University
Rizhao Lier High Temperature New Material Co., Ltd.
Zhejiang Sci-Tech University
Shenzhen Huaxing Optoelectronics Semiconductor Display Technology Co., Ltd.
Guangzhou Guangri Elevator Industry Co., Ltd.
Micro Dream Technology Network Technology (China) Co., Ltd.
Dayi Heng Co., Ltd.
kwang yang industrial co., ltd.
Huazhong University of Science and Technology
Chengdu Huawei Electronic Technology Co., Ltd.
China National Petroleum Corporation Safety and Environmental Protection Technology Research Institute Co., Ltd.
Fuzhou Pinxing Technology Development Co., Ltd.
Southwest University of Science and Technology
Qingdao Tiangong Intelligent Manufacturing Innovation Technology Co., Ltd.
Zhejiang Yunda Wind Power Co., Ltd.
Taizhou Huangyan Jialiang Plastic Industry Co., Ltd.
McAfee Limited
Gansu Desert Control Research Institute
Ningbo Kaiyao Electric Appliance Manufacturing Co., Ltd.
Kyocera Document Solutions Co., Ltd.
State Grid Corporation of China
Hainan Lvyu Environmental Technology Co., Ltd.
University of Science and Technology Beijing
Wuhan Hongxin Communication Technology Co., Ltd.
Si County Zhilai Machinery Technology Co., Ltd.
Kolon Industrial Co., Ltd.
Vivo Mobile Communication Co., Ltd.
Hangzhou Complex Beauty Technology Co., Ltd.
Ningbo Institute of Materials Technology and Engineering, Chinese Academy of Sciences
Beijing Quanlu Communication Signal Research and Design Institute Group Co., Ltd.
State Grid Henan Electric Power Company Ruzhou Power Supply Company
China Agricultural University
Zhuzhou Times Ruiwei Vibration Reduction Equipment Co., Ltd.
Sichuan University
Yunnan Datang Kampo Pharmaceutical Co., Ltd.
Zhongchi Water Co., Ltd.
Xinzheng Yuanheng Water Co., Ltd.
taiwan integrated circuit manufacturing co., ltd.
Zhongshan Borus New Materials Co., Ltd.
Shanghai Wo Neng Industrial Co., Ltd.
Zhejiang Yongning Pharmaceutical Co., Ltd.
Wuhan Dier Laser Technology Co., Ltd.
Mudanjiang Medical College
Jiangsu Gold Rubber & Plastic New Material Co., Ltd.
BOE Technology Group Co., Ltd.
Zhejiang Tsinghua Institute of Flexible Electronics Technology
New H3C Technology Co., Ltd.
Taizhou Zhongji Valve Co., Ltd.
Zhonghao Chenguang Chemical Research Institute Co., Ltd.
Xi Hongrong
Guangzhou Lei Jun Amusement Equipment Co., Ltd.
Hangzhou Huadong Pharmaceutical Group New Drug Research Institute Co., Ltd.
Li Jinpeng
CNOOC (China) Co., Ltd. Beijing Research Center
Showa Co., Ltd.
Huizhou Huaxing Optoelectronics Technology Co., Ltd.
Hangzhou Robam Electric Co., Ltd.
Sipu Listed Polymer New Materials Co., Ltd.
New H3C Technology Co., Ltd.
Shenzhen Huaxing Optoelectronics Technology Co., Ltd.
Shanghai University of Traditional Chinese Medicine
Huawei Technologies Co., Ltd
Zhuhai Gree Electric Appliances Co., Ltd.
Liu Yanping
Polykemi Composite Plastics (Kunshan) Co., Ltd.
Wulian County Industrial and Commercial Office
Xiamen Honghui Construction Engineering Co., Ltd.
Institute of Remote Sensing and Digital Earth, Chinese Academy of Sciences
Joyoung Co., Ltd.
Henan Weijiate Environmental Protection Technology Co., Ltd.
Jiangyin Xinri Metallurgical Equipment Co., Ltd.
Jiangsu Agriculture and Forestry Vocational and Technical College
Anhui Henglong New Materials Co., Ltd.
Harbin Institute of Technology
Shanghai Qingshen Technology Development Co., Ltd.
Nanjing Anrunpu New Energy Technology Co., Ltd.
Fiberhome Communication Technology Co., Ltd.
Shandong Guangyun Intelligent Technology Co., Ltd.
Zhengzhou University
Lotte Advanced Materials Co., Ltd.
Jiangsu Runqi Project Management Co., Ltd.
China Institute of Atomic Energy
Tsinghua University Shenzhen Graduate School
Huawei Technologies Co., Ltd
Hangzhou Ruifeng Biotechnology Co., Ltd.
Foshan Shunde Yago Household Products Co., Ltd.
Changchun Huatao Automotive Plastic Trim Co., Ltd.
Foshan Shunde Ruixun Packaging Machinery Co., Ltd.
Tianjin Jiruitong Technology Co., Ltd.
Zhejiang University of Technology
Kunshan Leisheng Medical Technology Co., Ltd.
Tower Battery Co., Ltd.
Sichuan Chuantungsten Cemented Carbide Co., Ltd.
